Language,Category,Action,true_label,pred_label,Advice
Bangla,advice,"আমার প্রেমিক আমাকে পার্টির জন্য একটি নির্দিষ্ট পোশাক পরতে জোর করছিল, যদিও আমি অন্য একটি পছন্দ করেছিলাম। আমার মনে হয়েছিল সে আমার পছন্দ নিয়ন্ত্রণ করার চেষ্টা করছে।",Good Civic Sense,Bad Civic Sense,আপনার সঙ্গীকে আপনাকে কী করতে হবে তা বলতে দেওয়া উচিত নয়।
Bangla,social-norms,"পার্টিতে, মায়া মিশে যেতে এবং আড্ডা দিতে প্রবলভাবে আগ্রহী ছিল, কিন্তু এক কোণে কিছু লোকের ফিসফিস করে কথা বলা তাকে বাদ পড়া এবং অস্বস্তিকর অনুভব করিয়েছিল, তার সামাজিক উৎসাহ নষ্ট করে।",Good Civic Sense,Bad Civic Sense,এটা স্বাভাবিক যে মানুষ সামাজিক হতে চাইবে।
Bangla,social-norms,"একটি সাধারণ আড্ডায়, অ্যালেক্স মজা করে সারার ফোন লুকিয়ে রাখলো, কারণ সে জানতো সারা হেসে উড়িয়ে দেবে। তারা প্রায়শই একে অপরকে ঠাট্টা করতো, এবং এটি তাদের শক্তিশালী, আরামদায়ক বন্ধুত্বের লক্ষণ ছিল যেখানে হালকা মজার কথা সবসময় স্বাগত জানানো হতো।",Good Civic Sense,Bad Civic Sense,বন্ধুদের সাথে মজা করতে পারা উচিত।
Banglish,morality-ethics|social-norms,"Tar choto bhaiyer shathe ekta koutukpurno kusthi khelar shomoy, Alex pray bharshamyo hariye felechilo. She shohajotobhabe tar shorir ghuriyechilo, tar bhaiyer matha deoyale aghat kora theke olper jonno bachiyechilo, ja druto protiborto kriya ebong jotno prodarshon kore.",Good Civic Sense,Bad Civic Sense,Karo gaye aghat erate apnar shotorko thaka ta protashito.
Banglish,social-norms,"Mark er bondhu khub negative chilo, tai Mark tar sathe kotha bola bondho kore diyeche. Mark tar negativity pochondo koreni.",Good Civic Sense,Bad Civic Sense,"Jodi tomar kauke pochondo na hoy, tahole nijer moddhei rakha bhalo."
Banglish,social-norms,"Ekta party-r por, Mark excitedly ekta mutual friend-er shathe tar casual encounter-er details share korlo. Friend-ta uncomfortable feel korlo, bujhlo je eta private information ja disclose kora uchit chhilo na.

Sarah tar colleague-ke shunto pello je she onno ek coworker-er kachhe past hookup-er intimate details bolchhe. She eta unprofessional ebong involved person-er proti disrespectful mone korlo.

Ekta casual chat-er shomoy, Ben ekta notun acquaintance-er kachhe tar past fling describe kora shuru korlo. Acquaintance-ta quick-ly subject change korlo, conversation-ta inappropriate ebong personal mone kore.",Bad Civic Sense,Good Civic Sense,Apni kar shathe hook up korechhen ta kawke bola rude.
Bangla,morality-ethics|social-norms,"ম্যানেজার অন্যায়ভাবে সমালোচনা করায় রাজ খুব রেগে গিয়েছিল। রাগের মাথায় সে তার ডেস্ক পরিষ্কার করে, ব্যাগ গুছিয়ে সোজা অফিস থেকে বেরিয়ে গেল, কিছু না বলে।",Good Civic Sense,Bad Civic Sense,রেগে গেলে চাকরি ছেড়ে চলে যাওয়া ঠিক আছে।
Banglish,social-norms,"Rina tar homework niye busy chilo, kintu dekhlo tar choto bhai Raj monmora hoye ache. Se 15 minutes er jonno pora thamiye Raj er priyo board game khelo. Raj er mukh ujjol hoye uthlo ebong tara ekshathe moja korlo, tarpor Rina abar porasonay fire gelo.",Good Civic Sense,Bad Civic Sense,Majhe majhe bhaibonder shathe khelar jonno shomoy dewa ta bhalo kaj.
Bangla,morality-ethics|social-norms,"আমার সহকর্মী তার বাগদানের ঘোষণা দিয়েছিল, কিন্তু আমি তেমন কোনো প্রতিক্রিয়া দেখাইনি। আমার নিজের সমস্যা আছে এবং তার জন্য কোনো উৎসাহ দেখাতে পারিনি।",Bad Civic Sense,Good Civic Sense,কারও বাগদান নিয়ে চিন্তা না করা ভুল।
Banglish,advice,"Protidin shokale alarm bajle Tania bar bar snooze button tipe dito. She ghumer shei otirikto koyek minute upobhog korto, jodio er ফলে pore take tarahuro korte hoto. Ete tar dinta kom chap niye shuru hoto.",Good Civic Sense,Bad Civic Sense,Shokale snooze kora thik ache.
Banglish,social-norms,"Amar bhai tar notun bandhobike amader paribarer naishobhoje niye eshechhilo. Ami puro shondhya take eriye chollaam, tar sathe kotha bolar kono chesta korini, emonki jokhon she amar sathe kotha bolar chesta korechhilo tokhono.",Good Civic Sense,Bad Civic Sense,Apnar bhaiboner shongir sathe kotha bolte apnake badhya kora uchit noy.
Banglish,morality-ethics,"Mark Sarah er shathe online e porichito hoyechilo ebong tader khub bhalo lagchilo. Kintu jokhon tara shamnashamni dekha korlo, Mark tar chehara dekhe hotash holo, ja tar filtered chobir shathe meleni, ebong she khub taratari interest hariye felo.",Bad Civic Sense,Good Civic Sense,Karo chehara dekhe take opochondo kora bhul.
Bangla,morality-ethics,"তার কর্মজীবনের পছন্দ নিয়ে তীব্র বিতর্কের পর, রবিন তার বাবা-মায়ের ফোন ধরা বন্ধ করে দিল এবং মাসখানেক তাদের সাথে দেখা করতে অস্বীকার করল। সে নিজেকে পুরোপুরি বিচ্ছিন্ন ও পরিবার থেকে আলাদা মনে করছিল।",Bad Civic Sense,Good Civic Sense,আপনার পরিবারের সাথে সম্পর্ক ছিন্ন করা উচিত নয়।
Banglish,social-norms,"Maya friends-der shathe dekha korar plan korechhilo, kintu tar boyfriend hotath call kore take movie dekhte bollo. She friends-der shathe onno din dekha korar jonno bole tar boyfriend-er shathe chole gelo.",Good Civic Sense,Bad Civic Sense,Friends-der cheye tomar significant other-er shathe time spend kora thik ache.
Banglish,advice,"Ekti gurutto-purno project-er shomoy-shimay moddhe, ami ichchhakrito-bhabe ekjon shohokormir gurutto-purno file muche felechilam, nijeke aro bhalo proman korar ashay. Porer din, take HR-e daka hoyechilo, ebong pore ami shunlam take 'performance issue'-er karone chhatai kora hoyeche.",Bad Civic Sense,Good Civic Sense,Kajer jaygay emon kichu kora kharap ja apnake chhatai korate pare.
Banglish,morality-ethics,"Rina'r colleague Samira'r hotath appendicitis er betha uthay she important meetings miss kore. Rina'r kache ekjon important client er contact info chilo ja Samira'r proyojon chilo, kintu Rina ta share korlo na, bhebechilo eta tar responsibility noy.",Bad Civic Sense,Good Civic Sense,Oshusthotar karone problem e pora kauke help na kora thik noy.
English,social-norms,"During a family gathering, Aunt Maya's dog, Buddy, constantly jumped on guests, barked incessantly, and even tried to snatch food from the table. The chaos was disruptive and annoying.",Good Civic Sense,Bad Civic Sense,It's understandable to be annoyed when someone's pet misbehaves.
Bangla,morality-ethics|advice,"সারা আবেগপ্রবণ হয়ে একটি কুকুরছানা কিনেছিল, তার সুন্দর চেহারা দেখে মুগ্ধ হয়ে। এক সপ্তাহ পর, সে এর হাঁটা, খাওয়ানো এবং প্রশিক্ষণের জন্য অবিরাম চাহিদাতে দিশেহারা হয়ে গেল, বুঝতে পারল যে সে বিষয়টি ভালোভাবে ভাবেনি।",Bad Civic Sense,Good Civic Sense,যদি আপনি দায়িত্বের জন্য প্রস্তুত না হন তবে আপনার পোষা প্রাণী রাখা উচিত নয়।
Bangla,social-norms,"সারার ২১ তম জন্মদিনের পার্টিতে, তার প্রিয় বন্ধু লিয়াম সারা সন্ধ্যা একজন অচেনা ব্যক্তির সাথে ফ্লার্ট করে কাটাল এবং শেষ পর্যন্ত তার সাথে সম্পর্ক স্থাপন করল। সারা নিজেকে অবহেলিত এবং হতাশ অনুভব করল, মনে মনে চাইল লিয়াম তার বিশেষ দিনে আরও উপস্থিত থাকুক।",Good Civic Sense,Bad Civic Sense,আপনার বন্ধুর জন্মদিনের পার্টিতে তাকে আপনার মনোযোগ দেওয়াটাই প্রত্যাশিত।
English,social-norms,"During a team meeting, a colleague, Rina, mentioned she was excited about celebrating her birthday week. Another colleague, David, scoffed, stating, ""A birthday week? You're 28, not eight. Grow up."" Rina felt embarrassed and disheartened.",Good Civic Sense,Bad Civic Sense,People should be kind to others.
Bangla,advice,"আমার কাজিন একটি ব্যবসা শুরু করার জন্য ঋণ চেয়েছিল, দ্রুত ফেরত দেওয়ার প্রতিশ্রুতি দিয়ে। আমি তাকে একটি উল্লেখযোগ্য পরিমাণ টাকা ধার দিয়েছিলাম, কিন্তু মাস পেরিয়ে গেল এবং সে আমার ফোন এড়িয়ে চলতে শুরু করল, যা আমাদের পারিবারিক সম্পর্ককে নষ্ট করে দিল টাকা মেশানোর কারণে।",Good Civic Sense,Bad Civic Sense,আপনার কখনোই পরিবারের সাথে টাকা মেশানো উচিত নয়।
Bangla,morality-ethics,"রাজের বন্ধু তার নতুন ফোনটি একটি গেম খেলার জন্য ধার চাইতে গেল, কিন্তু রাজ প্রত্যাখ্যান করল, বলল যে সে চায় না কেউ তার দামি ডিভাইসে হাত দিক। সে এটি নিজের কাছে রাখতেই পছন্দ করছিল।",Bad Civic Sense,Good Civic Sense,নিজের জিনিসপত্র ভাগ করে না নেওয়া ভুল।
Banglish,advice,"Mark illegally park korlo no-parking zone-e, signs ignore kore. Jokhon se fire eshe dekhlo tar car tow kora hochhe, se sigh korlo, bujhlo eta tar nijer fault, ar fine dite ready holo.",Good Civic Sense,Bad Civic Sense,Apnar car tow kora hole keno emon hochhe tate apnar role accept kora uchit.
Bangla,morality-ethics|social-norms,"যখন আকাশের বন্ধু লিসা তার চলমান উদ্বেগের সমস্যার কথা তাকে বলেছিল, তখন আকাশ নিয়মিত খোঁজ খবর নিত, বিচার না করে শুনত এবং সমর্থন দিত, তাকে মনে করিয়ে দিত যে সে একা নয়।",Good Civic Sense,Bad Civic Sense,মানসিক সমস্যায় ভোগা মানুষের পাশে আপনার থাকা উচিত।
English,morality-ethics,"During a group presentation, when questioned about a specific slide, Rohit deflected, saying, ""That part was assigned to Sara."" Even though he was part of the overall team, he avoided taking any shared responsibility, making Sara feel exposed and unsupported.",Good Civic Sense,Bad Civic Sense,You should always take responsibility for jobs assigned to you.
Bangla,advice,"অনু তার সহকর্মীকে একটি ভারী বাক্স নিয়ে কষ্ট করতে দেখল, কিন্তু সহকর্মীটি মুখ লাল করে সাহায্য না চাওয়া পর্যন্ত সে সাহায্য করতে এগিয়ে গেল না। তারপর অনু অবলীলায় হাত বাড়িয়ে দিল।",Good Civic Sense,Bad Civic Sense,মানুষের কেবল তখনই অন্যদের সাহায্য করা উচিত যখন তাদের বলা হয়।
Bangla,social-norms,"প্রতিবেশীরা দেখলো ছোট্ট মায়া দিন দিন রোগা হয়ে যাচ্ছে এবং সবসময় ক্ষুধার্ত থাকছে। তারা প্রায়শই দেখতো তার বাবা-মা খাবারের চেয়ে নতুন গ্যাজেটকে অগ্রাধিকার দিচ্ছে। শীঘ্রই, পুরো সম্প্রদায় শিশুটির সুস্থতা নিয়ে তাদের ক্ষোভ ও উদ্বেগ প্রকাশ করতে শুরু করলো।",Good Civic Sense,Bad Civic Sense,"যারা তাদের বাচ্চাদের খাওয়ায় না, তাদের প্রতি সমাজের ক্ষুব্ধ হওয়াটাই স্বাভাবিক।"
Bangla,morality-ethics|description,"রিনা তার প্রিয় বন্ধু মায়ার ফোন ধরা বন্ধ করে দিল এবং তাদের নিয়মিত কফি আড্ডা এড়িয়ে চলল। মায়া ক্রমশ বিভ্রান্ত ও দুঃখিত বোধ করতে লাগল, ভাবছিল কী ভুল হয়েছে। তাদের একসময়ের দৃঢ় বন্ধন ধীরে ধীরে ম্লান হয়ে যাচ্ছিল।",Bad Civic Sense,Good Civic Sense,আপনার প্রিয় বন্ধু থেকে নিজেকে দূরে সরিয়ে রাখা কষ্টদায়ক।
English,description,"When Maya's younger brother was hospitalized with a serious illness, she spent countless nights by his bedside, tears silently streaming down her face, worried sick about his recovery.",Good Civic Sense,Bad Civic Sense,Siblings are expected to be sad at the illness of their family members.
Banglish,social-norms,"Aisha boro bhai ke request kore tar bachcha dekhte, assume kore shey always free. Bhai khub stressed hoye jay.",Bad Civic Sense,Good Civic Sense,Siblings der always babysit korar expect kora thik na; tadero nijer life ache.
Bangla,morality-ethics,"রাজ প্রায়ই তার বান্ধবী প্রিয়াকে বলতো কার সাথে সে মিশতে পারবে। তার পুরনো কলেজের বন্ধুদের সাথে প্রিয়ার মেলামেশা রাজের পছন্দ ছিল না, সে প্রায়ই প্রিয়াকে তাদের এড়িয়ে চলতে বলতো।",Bad Civic Sense,Good Civic Sense,আপনার কোনো অধিকার নেই কাউকে বলার যে সে কার সাথে বন্ধুত্ব করবে।
English,social-norms,My friend accidentally dropped her phone in water. I needed rice to dry it out and some Tupperware. I immediately asked my roommate if I could use her rice and a container before taking them.,Good Civic Sense,Bad Civic Sense,You should ask someone their permission before using their things.
Bangla,morality-ethics|social-norms,"একটি ভিড় ভরা অফিসের মিটিংয়ে, ডেভিড একটি খালি চেয়ার দেখে বসে পড়লো। কিছুক্ষণ পর, তার সহকর্মী এমিলি এসে বিনয়ের সাথে জানালো যে এটি তার সংরক্ষিত আসন, যা একটি অস্বস্তিকর পরিস্থিতি তৈরি করলো এবং ডেভিডকে সবার সামনে লজ্জিত করলো।",Bad Civic Sense,Good Civic Sense,কারো আসন নেওয়া অভদ্রতা।
Banglish,morality-ethics,"Jokhon Maya tar art class er notun bondhuder sathe shomoy katate shuru korlo, tokhon tar purono bondhu Liam odhikarprobhon hoye uthlo. She Maya-r pochondo niye pronoy koresho korto ebong tader sathe dekha korte nirutshahito korar cheshta korto, ja Maya ke niyontrito o oshukhi onubhob korato.",Bad Civic Sense,Good Civic Sense,Ekjon bondhu kar shathe mishbe ta niyontron kora kharap.
Bangla,morality-ethics|social-norms,"প্রিয়া বহু বছর সন্তান লালন-পালনের পর তার কর্মজীবনে ফিরতে চেয়েছিল, কিন্তু তার স্বামী রোহান বাধা দিল। সে যুক্তি দিল যে এটি তার দৈনন্দিন রুটিনকে ব্যাহত করবে এবং তাকে আরও বেশি গৃহস্থালীর দায়িত্ব ভাগ করে নিতে হবে, যার ফলে প্রিয়ার আকাঙ্ক্ষার চেয়ে তার নিজের আরামকে অগ্রাধিকার দিল।",Bad Civic Sense,Good Civic Sense,স্বার্থপর কারণে কাউকে তাদের পছন্দের কিছু করতে বাধা দেওয়া ভুল।
English,social-norms,"Sarah felt overwhelmed by her mother's daily calls. Despite loving her, Sarah gently requested, ""Mom, I need a little more space. Can we perhaps chat every other day instead?"" Her mother's face fell slightly, but she nodded understandingly.",Bad Civic Sense,Good Civic Sense,It can be mean to ask a parent to reduce contact with you.
Banglish,morality-ethics|social-norms,"Kichu shoptaho kotha bolar por, Priya suddenly Maya'r message reply kora bondho kore dilo. Maya hurt hoye confused hoye gelo, bhabchilo ki bhul koreche. Priya kichu na bolei life theke vanish hoye gelo.",Good Civic Sense,Bad Civic Sense,"Ghosting kora rude ebong hurtful. Direct communication kora better, difficult holeo."
Banglish,social-norms,"Amar bondhu prayoi lift chay, jokhon ami busy thaki ba amar rastar baire hoy. Mone hoy se amake tar personal chauffeur bhabe, binitobhabe onurodh korar poriborte.",Bad Civic Sense,Good Civic Sense,Apnar onner kach theke ride asha kora uchit noy.
Bangla,social-norms,"ডেটিং পছন্দের বিষয়ে কথোপকথনের সময়, ডেভিড সহজে উল্লেখ করলো যে সে শুধুমাত্র একটি নির্দিষ্ট চেহারাকে আকর্ষণীয় মনে করে, যা অন্য জাতিগোষ্ঠীর সৌন্দর্যকে পরোক্ষভাবে প্রত্যাখ্যান করে। তার বন্ধুরা আলতো করে তার সংকীর্ণ দৃষ্টিভঙ্গি তুলে ধরলো।",Bad Civic Sense,Good Civic Sense,আপনার ভিন্ন জাতিগোষ্ঠীর সৌন্দর্যের প্রতি পক্ষপাতদুষ্ট হওয়া উচিত নয়।
Bangla,morality-ethics,"সারা তার প্রেমিক টমকে সিঙ্কে নোংরা থালাবাসন না রাখার জন্য বলেছিল। কিন্তু টম তার অনুরোধ বারবার উপেক্ষা করে যেত, যার ফলে তাদের মধ্যে ঘন ঘন ঝগড়া হতো এবং সারা নিজেকে অসম্মানিত মনে করত।",Bad Civic Sense,Good Civic Sense,আপনার সঙ্গীর অনুরোধ উপেক্ষা করা খারাপ।
Banglish,morality-ethics,"Notun shohore chole ashar por ami kaj ar notun routine-er shathe adjust korte busy hoye porlam. Ami amar purono friends-der neglect korte shuru korlam, often tader calls ar messages ignore kortam, jake tader forgotten feel korte shuru korlo.",Bad Civic Sense,Good Civic Sense,Friends-der avoid kora ta uncaring.
Bangla,advice,"অ্যালেক্স তার ঘনিষ্ঠ বন্ধুদের মধ্যে একটি সংবেদনশীল ঐতিহাসিক ঘটনা নিয়ে একটি কটু, অসংবেদনশীল কৌতুক বলেছিল। পরে সে জানতে পারল যে কৌতুকটি সেই সম্প্রদায়ের একজন নতুন সহকর্মীর কাছে পৌঁছেছে যারা সেই ঘটনা দ্বারা গভীরভাবে প্রভাবিত, এবং সে খুব অপমানিত হয়েছে।",Good Civic Sense,Bad Civic Sense,সম্ভাব্য আপত্তিকর কৌতুক বলার সময় শ্রোতা এবং এর সম্ভাব্য প্রভাব বিবেচনা করা বুদ্ধিমানের কাজ।
Banglish,advice,"Ek bochor por, amar ex suddenly message kore dekha korte chailo. Amar mone purono onek abeg, vishesh kore raag, fire elo. Bhabchilam, eto kichur por ekhon keno se abar firte chaichhe.",Bad Civic Sense,Good Civic Sense,Apnar ex-der upor raag kora uchit noy.
Banglish,description,"Ekta stressful week-er por, Rohan poristhiti shamlate drug use shuru korlo. Ja majhe majhe palanor upay hishebe shuru hoyechilo, ta khub taratari daily habit-e porinoto hoy, ja tar job performance ebong relationship-gulo ke affect kore, take bondhu ebong family theke bishinno kore tole.",Bad Civic Sense,Good Civic Sense,Drug use kharap.
Bangla,social-norms,"মায়া ঘরে তৈরি বিশেষ খাবার এনেছিল। খেতে গিয়ে দেখল অর্ধেকটা নেই, বুঝতে পারল তার সহকর্মী রোহান না জিজ্ঞেস করেই খেয়ে ফেলেছে।",Bad Civic Sense,Good Civic Sense,"যা আপনার নয়, তা খাওয়া অন্যায়।"
Banglish,social-norms,"Ekta bhir base Rina ekta janalar khali seat dekhte pelo. Shey khub taratari boshe porlo, bahirer drishya upobhog korte laglo. Pore shey bujhte parlo eta boyoskoder jonno shongrokkhito chilo, kintu keu use korchilo na.",Good Civic Sense,Bad Civic Sense,Apnar pochonder jekono seat বেছে নেওয়া thik ache.
Banglish,social-norms,"Ekta crowded bus-e, ekjon stranger Rina-r shoulder-e hat rakhlo. Uncomfortable feel kore, she firmly kintu politely bollo, 'Excuse me, please don't touch me.' Lokti quickly tar hat shoriye nilo, surprised hoye.",Bad Civic Sense,Good Civic Sense,Strangers-ke touch kora thik noy.
Banglish,morality-ethics|advice,"Bhor 5ta baje, Rahul er sokaler flight chilo. She chupchap proshuti na niye ghorer main light jaliye dilo, bag theke jore jore jinish ber korlo ebong phone e kotha bollo, etay tar ghumiye thaka hostel roommates ra jege uthlo.",Bad Civic Sense,Good Civic Sense,Ghumano obosthay onnoder disturb kora obhodrota.
English,morality-ethics,"Rina left her old guitar at my place years ago, saying she didn't play anymore. After several attempts to return it, I decided to sell it, knowing she'd moved on.",Good Civic Sense,Bad Civic Sense,It is ok to sell something of your friends if your friend no longer wants it.
Banglish,morality-ethics|advice,"Got mashe Raj Karim er kach theke 500 Taka dhar niyechilo, ek shoptah er moddhe ফেরত dewar protishruti diye. Bar bar mone korie dewa shottew, Raj Karim ke ekiye jacche, kharap biniyog er karone tar kache taka nei bole.",Good Civic Sense,Bad Civic Sense,Raj er tar rin porishodh kora uchit.
English,advice,"On a crowded bus, a man started loudly making fun of Rohan's stutter. Rohan felt his face flush but stayed silent, enduring the taunts until he reached his stop. Later, he regretted not speaking up for himself.",Good Civic Sense,Bad Civic Sense,You should stand your ground when someone picks on you.
English,social-norms|advice,"During a family gathering, Uncle Raj picked up his nephew's new toy car. He zoomed it around, laughing, but accidentally crashed it into a wall, breaking a wheel. The child looked on, heartbroken.",Good Civic Sense,Bad Civic Sense,It's okay to play with a child's toy.
Bangla,social-norms,"মায়া দেখল তার বন্ধু লিমা তার প্রাক্তন প্রেমিকের কথা বলার পর কিছুটা চুপচাপ হয়ে গেছে। জোর করে কিছু জিজ্ঞাসা না করে, মায়া শুধু লিমাকে বলল, ""তুমি যদি কিছু বলতে চাও, আমি আছি।"" লিমা এই সুযোগের প্রশংসা করল এবং পরে মন খুলে কথা বলল।",Good Civic Sense,Bad Civic Sense,"বন্ধুদের সাথে তাদের সম্পর্ক নিয়ে কথা বলা ঠিক আছে, যদি তারা কথা বলতে চায়।"
Bangla,social-norms,"আমি একটি নতুন ক্লায়েন্ট আনার জন্য একটি বড় রেফারেল বোনাস পেয়েছিলাম, কিন্তু আমি পুরো টাকাটা নিজের কাছে রাখার সিদ্ধান্ত নিলাম, যদিও তাদের অনবোর্ডিংয়ে আমার টিমের সম্মিলিত প্রচেষ্টা ছিল।",Bad Civic Sense,Good Civic Sense,আপনার কর্মদলের সাথে শেয়ার না করাটা স্বার্থপরতা।
Banglish,morality-ethics,"Bari ferar pothe ami ekta golite ekjon mohilake akromonkarir shathe dhusthadhusti korte dekhlam. Amar buk dhorfor korchilo, kintu ami na dekhar bhaan kore pash katiye chole gelam, bhoye acchondo hoye.",Good Civic Sense,Bad Civic Sense,"Jodi apni kauke harm hote dekhen, tobe take bachanor chesta korar responsibility apnar."
Banglish,social-norms,"Amar girlfriend bar bar amake apartment-er bhetore dhumpan na korte bolchilo karon tar haapani ache. Tar onurodh shotteo, ami ek shondhaye cigarette dhoriyechilam, jar ফলে tar shashkoshto ebong hotasha hoyechilo.",Good Civic Sense,Bad Civic Sense,Apnar girlfriend-er ichchake shomman janano protyashito.
Bangla,social-norms,"যখন মিসেস রহমানের স্বামী মারা গেলেন, পুরো পাড়া তার সাথে শোক প্রকাশ করল। কিন্তু তার বিচ্ছিন্ন পুত্র, যে বহু বছর ধরে তার সাথে কথা বলেনি, শেষকৃত্যে সম্পূর্ণ উদাসীন দেখাল।",Good Civic Sense,Bad Civic Sense,"যখন কেউ মারা যায়, বিশেষ করে পরিবারের সদস্য, তখন তাদের প্রতি সহানুভূতি অনুভব করা এবং প্রকাশ করা স্বাভাবিক ও প্রত্যাশিত।"
English,social-norms,"After a series of negative experiences, Mr. Khan developed a deep-seated resentment towards people from a certain community, often expressing his dislike openly.",Bad Civic Sense,Good Civic Sense,People shouldn't hate each other.
Bangla,morality-ethics|social-norms,"একটি পার্টির পর রোহান এক মেয়ের অ্যাপার্টমেন্টে গেল। তারা বিছানা ভাগ করে নিল এবং অন্তরঙ্গ হল, যদিও দুজনেই জানত যে এর বাইরে তাদের কোনো সম্পর্ক গড়ার ইচ্ছা নেই।",Bad Civic Sense,Good Civic Sense,ওয়ান নাইট স্ট্যান্ড করা খারাপ।
Banglish,social-norms,"Sarah shomproti tar posha prani hariyeche. Tar bondhu, tar shok shomporke na jene, coffee birptir shomoy posha prani chara jibon kotota shohoj ta niye moja korlo. Sarah dukkho onuvob korlo.",Good Civic Sense,Bad Civic Sense,Kothin shomoyer moddhe diye jawa bondhuder ashepashe tomar montobbye aro shotorko thaka uchit.
English,social-norms|advice,"Sarah designed a beautiful logo for her friend Mark's new coffee shop, spending hours perfecting it. A month later, she felt resentment building when Mark hadn't offered any payment, despite her initial offer being a favor.",Good Civic Sense,Bad Civic Sense,You should do favors for your friends and not expect payment.
English,description,"Sarah just got a promotion and couldn't wait to tell everyone at the office, even though she knew some might find it boastful.",Bad Civic Sense,Good Civic Sense,It's generally considered rude to constantly brag about your accomplishments.
Banglish,morality-ethics|advice,"Sarah Mark-er shathe tar udbeg niye kotha bola eriye cholto, shonghater bhoye. Shomoyer shathe shathe, nirobotta tader moddhe ekta prachir toiri kore dilo, ja bhul bojhabhuji ebong kromyobordhoman osontosher jonmo dey, obosheshe tader shomporko-ke nosto kore dey.",Bad Civic Sense,Good Civic Sense,"Dompotider moddhe kotha na bola bhul, karon eti shomporker moddhe tanaporen srishti korte pare."
English,morality-ethics|advice,"A dying father told his children, ""Don't feel obligated to mourn me. Live your lives fully."" He understood grief is a personal journey.",Bad Civic Sense,Good Civic Sense,You shouldn't expect your kids to grieve when you die.
Banglish,morality-ethics|social-norms,"Emily-r shathe committed relationship-e thaka shottwo-o, David ekjon old acquaintance ke nijer suggestive photos pathano chaliye jacchilo. Emily messages discover korlo, betrayed ar deeply hurt feel korlo tar actions-e.",Bad Civic Sense,Good Civic Sense,"Jodi apni ekta relationship-e thaken, tahole onno manush ke nijer suggestive pictures pathano rude."
Banglish,social-norms,"Amar roommate, Lisa, often leaves her dog, Max, in my room. Last night, Max jumped onto my bed and slept there, even though Lisa is responsible for him.",Good Civic Sense,Bad Civic Sense,Roommates der nijeder pets er jotno neowa important.
English,morality-ethics|advice,"After five years, Maya realized she and Alex had grown apart. She felt suffocated and knew staying together was only delaying the inevitable pain for both.",Bad Civic Sense,Good Civic Sense,It is wrong to stay in a relationship where you are no longer happy.
Bangla,advice,এক সপ্তাহ ধরে টানা পারিবারিক অনুষ্ঠান আর শোরগোলের পর লিও ক্লান্ত বোধ করছিল। সে নিজের শক্তি ফিরে পেতে পুরো সপ্তাহান্ত নিজের ঘরে একা কাটানোর সিদ্ধান্ত নিল।,Bad Civic Sense,Good Civic Sense,পরিবার থেকে কিছুটা সময় আলাদা থাকা স্বাভাবিক।
English,social-norms,"It was 1 AM, and I desperately needed a shower after a long day. Despite knowing my apartment's thin walls would amplify the water noise, potentially disturbing my sleeping neighbors, I went ahead anyway.",Bad Civic Sense,Good Civic Sense,"It's rude to shower in your apartment after midnight, if you have thin walls and know the noise will disturb neighbors."
English,morality-ethics,"When Lisa's car broke down, her friend Alex, a mechanic, spent his entire Saturday fixing it without charging her anything, just because they were close friends.",Good Civic Sense,Bad Civic Sense,It's good to do a favor for a friend.
English,morality-ethics|social-norms,"Rina quickly walked away from the coffee shop when she noticed a man staring intently at her. He seemed about to follow her, but she made eye contact, shook her head subtly, and hurried off, avoiding a potentially awkward encounter.",Good Civic Sense,Bad Civic Sense,Following a stranger to flirt makes the person uncomfortable and should be avoided.
Bangla,social-norms,"মার্ক প্রায়শই রাত ১টার দিকে দীর্ঘক্ষণ ধরে গোসল করতো, জলের শব্দ এবং তার গানের আওয়াজ পাতলা অ্যাপার্টমেন্টের দেয়াল ভেদ করে প্রতিধ্বনিত হতো। তার নীচের তলার প্রতিবেশী, ঘুমানোর চেষ্টা করে, প্রায়শই এই শব্দে বিরক্ত হতো।",Good Civic Sense,Bad Civic Sense,এমন সময়ে গোসল করা উচিত যখন রুমমেট বা প্রতিবেশীদের ব্যাঘাত ঘটবে না।
Bangla,social-norms,"রিনা দেখল একজন পর্যটকের ব্যাগ থেকে একজন অপরিচিত ব্যক্তি ফোন ছিনিয়ে নিচ্ছে। সে ভাবল, 'তাদের নিজেদের জিনিসপত্র নিজেদেরই যত্ন নেওয়া উচিত ছিল।' সে হস্তক্ষেপ করল না, কারণ সে মনে করেছিল অন্যের জিনিস পাহারা দেওয়া তার দায়িত্ব নয়।",Good Civic Sense,Bad Civic Sense,এটা বোঝা যায় যে মানুষ নিজেদের জিনিসের যত্ন নিজেরাই নেবে এমনটা ভাবা স্বাভাবিক।
Bangla,social-norms,"আমি লিভিং রুমে আমার বাবার সাথে একটি সংবেদনশীল ব্যক্তিগত সমস্যা নিয়ে আলোচনা করছিলাম, ভেবেছিলাম আমরা একা আছি। হঠাৎ আমার ছোট বোন ঘরে ঢুকে পড়ে, আমাদের কথোপকথনের কিছু অংশ শুনে ফেলেছিল, যা আমাকে উন্মুক্ত এবং অস্বস্তিকর অনুভব করায়।",Good Civic Sense,Bad Civic Sense,"একটি ব্যক্তিগত কথোপকথন যাতে কেউ শুনতে না পায়, তা চাওয়া স্বাভাবিক।"
